Marca,Modelo,Precio_usd
Renault,Duster,15608.3897203989
Ford,Ecosport,9702.512528896614
BMW,X1,33700.0
Mercedes-Benz,Clase GLC,58000.0
Citroën,C4 Cactus,17717.63157450686
Toyota,SW4,53000.0
Volkswagen,Taos,31714.560518367278
Volkswagen,Taos,29951.234328333023
Ford,Ecosport,9280.664158075022
Audi,Q7,20500.0
Jeep,Compass,46825.169161196696
Chevrolet,Tracker,22358.807350286013
Ford,Ecosport,21008.048866915276
Kia,Soul,10900.0
Volkswagen,Taos,37713.24435145032
BMW,X3,50000.0
Audi,Q8,168800.0
Nissan,Kicks,25774.766717850936
Peugeot,2008,19826.873428614817
Honda,CR-V,12500.0
Chevrolet,Tracker,22687.005382785213
Kia,Sportage,29529.385957511433
Honda,CR-V,8500.0
Ford,Territory,32482.324553262577
Hyundai,Tucson,26900.0
Ford,Ecosport,10968.057641361389
Ford,Ecosport,13077.29949546935
Chevrolet,Tracker,12233.602753826164
Renault,Duster,12233.602753826164
Nissan,Kicks,21092.418541079594
Chevrolet,Trailblazer,26000.0
Volkswagen,Taos,26070.229316774377
Ford,Ecosport,10883.687967197071
Renault,Duster,12499.0
Volkswagen,Taos,31427.707844692304
Toyota,Corolla Cross,28179.471170882338
BMW,X6,45000.0
Chevrolet,Tracker,12655.451124647756
Volkswagen,Nivus,28677.252248451816
Chevrolet,Tracker,22357.962809847628
Volkswagen,Nivus,24171.911648077214
Ford,Kuga,14500.0
Land Rover,Evoque,44900.0
Daihatsu,Terios,7500.0
Nissan,Kicks,19320.65538362891
Volkswagen,T-Cross,28685.68921586825
Jeep,Renegade,19900.0
Honda,HR-V,18139.47994532845
Chery,Tiggo 4 Pro,39500.0
Ford,Ecosport,12317.972427990484
Jeep,Compass,40497.44359887282
Toyota,Corolla Cross,33747.869665727354
Peugeot,2008,20417.461147765047
Fiat,Pulse,23201.660395187555
Chevrolet,Tracker,16030.238091220492
Volkswagen,Tiguan,48934.41101530466
Renault,Captur,15524.020046234582
Peugeot,2008,15682.6350336635
Honda,HR-V,17000.0
Volkswagen,T-Cross,25537.01297605589
Citroën,C5 Aircross,32000.0
Ford,Ecosport,10883.687967197071
Dodge,Journey,12655.451124647756
Jeep,Compass,39000.0
Hyundai,Tucson,12500.0
BAIC,X55,43400.0
Ford,Ecosport,8690.076438924792
Jeep,Patriot,13000.0
Chery,Tiggo 4 Pro,27900.0
Volkswagen,T-Cross,24467.20550765233
Volkswagen,Taos,30541.822047483252
Ford,Ecosport,15186.541349577308
Chery,Tiggo 3,13077.29949546935
Chevrolet,Tracker,23722.221284781397
Jeep,Compass,29107.53758668984
Citroën,C4 Cactus,20248.72179943641
Jeep,Compass,25000.0
BMW,X1,40500.0
Jeep,Compass,13500.0
Renault,Duster,10968.057641361389
Ford,Ecosport,17481.396486846766
Fiat,Pulse,21092.418541079594
Renault,Duster,23397.205676391677
Ford,Ecosport,17500.0
Chevrolet,Tracker,19900.0
Peugeot,2008,24467.20550765233
Ford,Ecosport,11474.275686347299
Toyota,Corolla Cross,30669.220255471373
Jeep,Compass,36000.0
Chevrolet,Tracker,13920.996237112533
Ford,Ecosport,15945.868417056174
Chevrolet,Tracker,15186.541349577308
Volkswagen,Nivus,22000.0
Renault,Duster,27757.622800060748
Volkswagen,Taos,32904.17292408417
Jeep,Compass,32900.0
Fiat,Pulse,21092.418541079594
Chevrolet,Tracker,18974.739719555204
Renault,Duster Oroch,16400.0
Jeep,Grand Cherokee,25000.0
Volkswagen,T-Cross,24804.684204309604
Peugeot,3008,29900.0
Audi,Q5,41000.0
Peugeot,2008,15186.541349577308
Dodge,Journey,11811.754383004572
Peugeot,2008,14342.844607934125
Fiat,Pulse,20417.461147765047
BMW,X5,74000.0
Jeep,Cherokee,17790.0
Jeep,Renegade,15500.0
BMW,X5,22000.0
Renault,Duster,10883.687967197071
Toyota,Corolla Cross,29107.53758668984
Renault,Duster,14680.323304591398
Peugeot,3008,44000.0
Jeep,Compass,17500.0
Nissan,Kicks,20248.72179943641
Chevrolet,Tracker,26070.237753741796
Chevrolet,Equinox,21936.115282722778
Toyota,Corolla Cross,43500.0
Jeep,Cherokee,14000.0
Citroën,C4 Cactus,19320.65538362891
Chevrolet,Trailblazer,55366.14582454482
Chevrolet,Tracker,28601.31954170393
Audi,q5 sportback,127000.0
Jeep,Renegade,21000.0
Ford,Ecosport,7700.0
Jeep,Renegade,19500.0
Citroën,C4 Cactus,14400.0
Ford,Ecosport,19236.28570946459
Renault,Duster,13077.29949546935
Nissan,Kicks,21935.271585981136
Nissan,Kicks,20773.50117273847
Jeep,Compass,37114.219664883654
Chevrolet,Tracker,15500.0
